0 ABRAMSON, G
1289 VALENSIN, S
1290 CASTELLANI, G
1291 REMONDINI, D
1292 FRANCESCHI, C
1293 TIMME, M
1294 WOLF, F
1295 MCINTOSH, A
1296 TORNOW, S
1297 KOZMA, B
1298 HENGARTNER, N
1299 KORNISS, G
1300 TORRES, J
1301 GARRIDO, P
1302 TRAVERS, J
1303 DEALBUQUERQUE, M
1304 TSODYKS, M
1305 KENET, T
1306 GRINVALD, A
1307 ARIELI, A
1308 TYLER, J
1309 WILKINSON, D
1310 TYSON, J
1311 CSIKASZNAGE, A
1312 NOVAK, B
1313 UETZ, P
1314 CAGNEY, G
1315 MANSFIELD, T
1316 JUDSON, R
1317 KNIGHT, J
1318 LOCKSHON, D
1319 NARAYAN, V
1320 SRINIVASAN, M
1321 POCHART, P
1322 QURESHIEMILI, A
1323 LI, Y
1324 GODWIN, B
1325 CONOVER, D
1326 KALBFLEISCH, T
1327 VIJAYADAMODAR, G
1328 YANG, M
1329 JOHNSTON, M
1330 FIELDS, S
1331 ROTHBERG, J
1332 GLOT, L
1333 VALENTE, T
1334 FOREMAN, R
1335 CANCHO, R
1336 VANNUCCHI, F
1337 VANPUTTEN, M
1338 VANVREESWIJK, C
1339 VANWIGGEREN, G
1340 VARELA, F
1341 LACHAUX, J
1342 RODRIGUEZ, E
1343 MARTINERIE, J
1344 FLAMMINI, A
1345 VAZQUEZ, F
1346 VEZOLI, J
1347 FALCHIER, A
1348 KNOBLAUCH, K
1349 KENNEDY, H
1350 CZIROK, A
1351 COHEN, I
1352 SHOCHET, O
1353 VOGELSTEIN, B
1354 LANE, D
1355 LEVINE, A
1356 VOGELS, W
1357 VANRENESSE, R
1358 BIRMAN, K
1359 VOLCHENKOV, D
1360 VOLCHENKOVA, L
1361 VONNEUMANN, J
1362 MORGENSTERN, O
1363 VRAGOVIC, I
1364 LOUIS, E
1365 VUKADINOVIC, D
1366 HUANG, P
1367 ERLEBACH, T
1368 VUKMIROVIC, O
1369 TILGHMAN, S
1370 WALL, M
1371 HIAVACEK, W
1372 WANG, B
1373 ZHANG, F
1374 WANG, J
1375 DEWILDE, P
1376 WANG, S
1377 ZHANG, C
1378 XU, J
1379 PATTISON, P
1380 WEEKS, M
1381 CLAIR, S
1382 RADDA, K
1383 SCHENSUL, J
1384 WELLMAN, B
1385 SALAFF, J
1386 DIMITROVA, D
1387 GARTON, L
1388 GULIA, M
1389 HAYTHORNTHWAITE, C
1390 WEST, G
1391 BROWN, J
1392 ENQUIST, B
1393 NAZER, N
1394 SOUTHGATE, E
1395 THOMPSON, J
1396 BRENNER, S
1397 WHITTINGTON, M
1398 TRAUB, R
1399 BUHL, E
1400 WINFUL, H
1401 RAHMAN, L
1402 WOOD, A
1403 WOLLENBERG, B
1404 WUCHTY, S
1405 WU, C
1406 CHUA, L
1407 WU, F
1408 RICE, D
1409 SALWINSKI, L
1410 BARON, M
1411 XULVIBRUNET, R
1412 YANG, K
1413 HUANG, L
1414 YANG, L
1415 YAN, G
1416 ZHOU, T
1417 FU, Z
1418 YAOUM, Y
1419 LAUMANN, E
1420 YEHIA, A
1421 JEANDUPREUX, D
1422 ALONSO, F
1423 GUEVARA, M
1424 YEUNG, M
1425 YOOK, S
1426 TU, Y
1427 SAGER, J
1428 CSARDI, G
1429 HAGA, P
1430 YUSONG, T
1431 LINGJIANG, K
1432 MUREN, L
1433 ZAKS, M
1434 PARK, E
1435 ZASLAVER, A
1436 MAYO, A
1437 ROSENBERG, R
1438 BASHKIN, P
1439 SBERRO, H
1440 TSALYUK, M
1441 ZEKRI, N
1442 CLERC, J
1443 CERDEIRA, H
1444 CHEN, S
1445 BRAUN, T
1446 YAO, Y
1447 ZHAN, M
1448 ZHENG, D
1449 TRIMPER, S
1450 ZHENG, B
1451 HUI, P
1452 ZHENG, Z
1453 ZHONGBAO, K
1454 CHANGSHUI, Z
1455 ZHOU, S
1456 MONDRAGON, R
1457 ZHU, H
1458 HUANG, Z
1459 ZHU, J
1460 ZIMMERMANN, M
